Row,PAamp,PBamp,PCamp,PDamp,PFamp,PAr10,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PAr100,PAf95,PAf90,PAf80,PAf40,PAf20,PBr10,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PBr100,PBf95,PBf90,PBf80,PBf40,PBf20,PCr10,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PCr100,PCf95,PCf90,PCf80,PCf40,PCf20,PDr10,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PDr100,PDf95,PDf90,PDf80,PDf40,PDf20,PFr10,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,PFr100,PFf95,PFf90,PFf80,PFf40,PFf20,y
14741,2.465e-07,2.075e-07,1.531e-07,6.265e-07,2.342e-07,-5.64e-06,0,4.623e-06,8.904e-06,1.309e-05,1.744e-05,2.23e-05,2.831e-05,3.737e-05,4.478e-05,6.732e-05,0.0001132,0.0001424,0.0001873,0.0004238,0.0006295,-7.85e-06,-1.68e-06,3.584e-06,8.615e-06,1.384e-05,1.973e-05,2.64e-05,3.479e-05,4.817e-05,5.997e-05,9.772e-05,0.0001516,0.0001785,0.0002355,0.0004805,0.0007284,3.266e-05,4.391e-05,5.477e-05,6.534e-05,7.812e-05,9.051e-05,0.0001064,0.0001215,0.0001523,0.0001666,0.0002257,0.0002709,0.0003145,0.0003673,0.0006575,0.0009112,-1.86e-05,-1.45e-05,-1.13e-05,-8.39e-06,-5.46e-06,-2.42e-06,9.039e-07,4.849e-06,1.023e-05,1.434e-05,2.652e-05,4.639e-05,5.998e-05,8.494e-05,0.0002483,0.0004673,1.108e-06,7.578e-06,1.32e-05,1.866e-05,2.443e-05,3.127e-05,3.931e-05,5.214e-05,7.136e-05,8.418e-05,0.0001289,0.0001849,0.0002135,0.0002644,0.0005126,0.000755,-29.5
14808,2.634e-07,2.265e-07,1.789e-07,7.084e-07,2.734e-07,-5.78e-06,0,4.721e-06,9.211e-06,1.385e-05,1.891e-05,2.47e-05,3.187e-05,4.303e-05,5.302e-05,8.441e-05,0.0001257,0.0001576,0.0002028,0.0004273,0.0006391,-8.18e-06,-1.05e-06,4.814e-06,1.025e-05,1.583e-05,2.196e-05,2.932e-05,3.924e-05,5.354e-05,6.75e-05,0.000106,0.0001541,0.0001869,0.0002423,0.0004908,0.0007241,2.952e-05,4.021e-05,5.111e-05,6.283e-05,7.451e-05,8.562e-05,0.0001016,0.0001172,0.0001478,0.0001706,0.0002132,0.0002794,0.0003043,0.0003692,0.000632,0.0008997,-2.03e-05,-1.63e-05,-1.31e-05,-1.01e-05,-7.25e-06,-4.24e-06,-9.5e-07,2.941e-06,8.195e-06,1.221e-05,2.441e-05,4.39e-05,5.642e-05,8.136e-05,0.0002459,0.0004651,-4.42e-06,2.245e-06,7.676e-06,1.27e-05,1.773e-05,2.314e-05,2.962e-05,3.931e-05,6.198e-05,7.602e-05,0.0001228,0.0001771,0.0002035,0.000256,0.0005029,0.0007577,-29.5
15623,3.584e-07,3.161e-07,2.485e-07,9.677e-07,3.589e-07,-5.82e-06,0,4.699e-06,9.082e-06,1.353e-05,1.831e-05,2.365e-05,3.013e-05,3.912e-05,4.636e-05,7.414e-05,0.00012,0.0001505,0.0001982,0.000426,0.0006363,-6.87e-06,-6.24e-07,4.546e-06,9.424e-06,1.448e-05,2.012e-05,2.658e-05,3.474e-05,4.768e-05,5.888e-05,9.974e-05,0.00015,0.000181,0.0002336,0.0004877,0.0007253,3.139e-05,4.226e-05,5.167e-05,6.181e-05,7.298e-05,8.523e-05,9.942e-05,0.0001181,0.0001433,0.0001584,0.0002309,0.0002819,0.0003053,0.0003632,0.0006283,0.0008947,-1.87e-05,-1.44e-05,-1.08e-05,-7.64e-06,-4.47e-06,-1.2e-06,2.351e-06,6.491e-06,1.199e-05,1.61e-05,2.774e-05,4.543e-05,5.654e-05,8.053e-05,0.0002385,0.000466,-1.02e-06,5.182e-06,1.025e-05,1.504e-05,1.995e-05,2.533e-05,3.184e-05,4.106e-05,6.472e-05,8.266e-05,0.0001157,0.0001813,0.0002065,0.0002573,0.0005029,0.0007593,-29.5
15867,3.59e-07,3.2e-07,2.627e-07,9.885e-07,3.638e-07,-5.83e-06,0,4.669e-06,9.05e-06,1.342e-05,1.809e-05,2.352e-05,3.036e-05,4.061e-05,4.942e-05,7.179e-05,0.0001223,0.0001491,0.0001993,0.0004255,0.0006316,-7.48e-06,-8.65e-07,4.618e-06,9.856e-06,1.505e-05,2.044e-05,2.653e-05,3.477e-05,4.686e-05,5.783e-05,8.379e-05,0.0001553,0.0001815,0.000233,0.0004898,0.0007419,3.087e-05,4.251e-05,5.275e-05,6.373e-05,7.392e-05,8.747e-05,0.0001043,0.0001191,0.00014,0.000161,0.0002077,0.0002695,0.000303,0.0003615,0.0006509,0.0009434,-1.87e-05,-1.41e-05,-1.05e-05,-7.09e-06,-3.74e-06,-2.76e-07,3.497e-06,7.878e-06,1.363e-05,1.783e-05,2.939e-05,4.402e-05,5.256e-05,6.985e-05,0.0002236,0.0004448,-9.19e-07,5.566e-06,1.092e-05,1.586e-05,2.089e-05,2.644e-05,3.307e-05,4.225e-05,5.951e-05,8.459e-05,0.0001277,0.000178,0.0002047,0.0002578,0.0005072,0.0007587,-29.5
15898,3.525e-07,3.099e-07,2.532e-07,9.694e-07,3.727e-07,-6.03e-06,0,4.883e-06,9.443e-06,1.402e-05,1.889e-05,2.442e-05,3.145e-05,4.172e-05,4.963e-05,8.254e-05,0.0001359,0.0001593,0.0002107,0.0004319,0.0006407,-7.23e-06,-4.57e-07,5.243e-06,1.055e-05,1.576e-05,2.142e-05,2.838e-05,3.743e-05,5.092e-05,6.184e-05,8.974e-05,0.0001576,0.0001875,0.0002405,0.0004977,0.000722,2.755e-05,3.892e-05,5.067e-05,6.04e-05,7.143e-05,8.422e-05,9.877e-05,0.0001151,0.0001379,0.0001567,0.0001993,0.0002666,0.0003003,0.0003633,0.0006303,0.0009095,-2.02e-05,-1.58e-05,-1.23e-05,-9.07e-06,-5.89e-06,-2.61e-06,9.327e-07,5.061e-06,1.051e-05,1.461e-05,2.654e-05,4.38e-05,5.476e-05,7.878e-05,0.000238,0.000463,-4.69e-06,1.522e-06,6.541e-06,1.122e-05,1.596e-05,2.11e-05,2.716e-05,3.559e-05,5.379e-05,7.59e-05,0.0001233,0.0001654,0.000199,0.0002485,0.0005025,0.0007427,-29.5
15971,2.926e-07,2.533e-07,2.002e-07,7.905e-07,3.064e-07,-6.14e-06,0,4.775e-06,9.195e-06,1.373e-05,1.873e-05,2.45e-05,3.176e-05,4.224e-05,5.064e-05,8.177e-05,0.0001279,0.0001536,0.0002027,0.0004251,0.0006422,-7.57e-06,-8.46e-07,4.658e-06,9.984e-06,1.56e-05,2.157e-05,2.847e-05,3.789e-05,5.169e-05,6.342e-05,9.937e-05,0.0001605,0.0001909,0.0002424,0.0004922,0.0007182,2.723e-05,3.992e-05,5.03e-05,6.176e-05,7.28e-05,8.572e-05,9.95e-05,0.000117,0.0001405,0.0001593,0.0002121,0.00027,0.000313,0.0003643,0.0006347,0.0008979,-2.04e-05,-1.63e-05,-1.3e-05,-1e-05,-7.18e-06,-4.17e-06,-8.74e-07,3.029e-06,8.353e-06,1.246e-05,2.497e-05,4.614e-05,6.073e-05,8.794e-05,0.0002511,0.0004662,-4.23e-06,1.786e-06,6.862e-06,1.171e-05,1.67e-05,2.225e-05,2.928e-05,3.948e-05,5.989e-05,7.781e-05,0.0001089,0.0001746,0.0001987,0.0002529,0.0005015,0.0007336,-29.5
16259,2.782e-07,2.466e-07,1.969e-07,7.954e-07,2.9e-07,-5.68e-06,0,4.73e-06,9.155e-06,1.359e-05,1.821e-05,2.346e-05,3.024e-05,4.043e-05,4.924e-05,7.749e-05,0.0001293,0.0001576,0.000204,0.0004256,0.0006494,-7.61e-06,-7.41e-07,4.824e-06,1.009e-05,1.526e-05,2.086e-05,2.814e-05,3.711e-05,5.019e-05,6.254e-05,9.989e-05,0.0001495,0.000179,0.0002329,0.000489,0.0007384,2.974e-05,4.188e-05,5.219e-05,6.087e-05,7.044e-05,8.22e-05,9.553e-05,0.0001161,0.0001434,0.000159,0.0002078,0.0002781,0.0003016,0.0003641,0.0006314,0.0009142,-1.97e-05,-1.53e-05,-1.17e-05,-8.47e-06,-5.27e-06,-1.98e-06,1.56e-06,5.649e-06,1.098e-05,1.491e-05,2.549e-05,3.884e-05,4.64e-05,6.167e-05,0.0002058,0.0004229,-4.19e-06,2.465e-06,7.763e-06,1.257e-05,1.744e-05,2.274e-05,2.886e-05,3.687e-05,5.492e-05,8.053e-05,0.0001126,0.0001726,0.0001973,0.0002526,0.0005042,0.000758,-29.5
16300,3.482e-07,3.092e-07,2.451e-07,9.543e-07,3.572e-07,-5.8e-06,0,4.727e-06,9.151e-06,1.358e-05,1.825e-05,2.355e-05,3.014e-05,3.956e-05,4.727e-05,8.067e-05,0.0001267,0.0001548,0.0002048,0.0004284,0.0006486,-7.16e-06,-3.28e-07,5.205e-06,1.037e-05,1.566e-05,2.131e-05,2.768e-05,3.586e-05,4.854e-05,6.154e-05,9.667e-05,0.0001515,0.0001788,0.0002348,0.0004911,0.0007508,2.889e-05,4.081e-05,5.048e-05,5.956e-05,7.125e-05,8.297e-05,9.967e-05,0.0001151,0.0001401,0.0001565,0.000199,0.0002772,0.0003227,0.0003876,0.0006703,0.0009573,-1.88e-05,-1.43e-05,-1.06e-05,-7.31e-06,-4.01e-06,-5.89e-07,3.135e-06,7.453e-06,1.31e-05,1.724e-05,2.867e-05,4.359e-05,5.214e-05,7.021e-05,0.0002261,0.0004503,-2.32e-06,4.462e-06,9.793e-06,1.472e-05,1.962e-05,2.489e-05,3.119e-05,3.976e-05,5.848e-05,8.2e-05,0.0001222,0.0001665,0.0002041,0.0002575,0.000507,0.0007645,-29.5
16446,2.461e-07,2.157e-07,1.737e-07,7.086e-07,2.516e-07,-5.45e-06,0,4.562e-06,8.885e-06,1.322e-05,1.792e-05,2.331e-05,2.989e-05,3.95e-05,4.859e-05,7.534e-05,0.0001239,0.0001509,0.0002025,0.0004291,0.0006506,-7.25e-06,-5.96e-07,5.008e-06,1e-05,1.494e-05,2.048e-05,2.706e-05,3.57e-05,4.755e-05,5.799e-05,9.534e-05,0.0001578,0.0001802,0.0002368,0.000484,0.0007319,3.122e-05,4.122e-05,5.173e-05,6.251e-05,7.251e-05,8.629e-05,9.953e-05,0.0001187,0.0001403,0.0001659,0.0002073,0.0002457,0.0002995,0.0003524,0.0006003,0.0009022,-1.93e-05,-1.48e-05,-1.13e-05,-8.14e-06,-5.02e-06,-1.81e-06,1.654e-06,5.661e-06,1.086e-05,1.463e-05,2.494e-05,3.72e-05,4.417e-05,5.703e-05,0.0001908,0.0004052,-3.63e-06,2.76e-06,8.147e-06,1.332e-05,1.843e-05,2.377e-05,2.993e-05,3.868e-05,6.256e-05,7.897e-05,0.0001185,0.0001618,0.000199,0.0002502,0.0004974,0.0007433,-29.5
16497,3.429e-07,3.029e-07,2.461e-07,9.39e-07,3.681e-07,-5.79e-06,0,4.777e-06,9.295e-06,1.39e-05,1.884e-05,2.46e-05,3.2e-05,4.258e-05,5.344e-05,8.582e-05,0.000138,0.0001609,0.0002074,0.0004331,0.0006451,-6.64e-06,1.131e-07,5.65e-06,1.086e-05,1.625e-05,2.22e-05,2.932e-05,3.869e-05,5.316e-05,6.535e-05,0.0001018,0.0001533,0.0001859,0.0002357,0.0004857,0.0007338,2.944e-05,3.957e-05,4.913e-05,6.069e-05,7.214e-05,8.406e-05,0.0001004,0.000116,0.0001381,0.0001566,0.000197,0.0002711,0.0003041,0.0003613,0.0006255,0.0009008,-2.01e-05,-1.57e-05,-1.22e-05,-8.95e-06,-5.75e-06,-2.46e-06,1.097e-06,5.219e-06,1.063e-05,1.466e-05,2.582e-05,4.264e-05,5.366e-05,7.808e-05,0.0002399,0.0004663,-4.72e-06,1.475e-06,6.404e-06,1.101e-05,1.564e-05,2.064e-05,2.648e-05,3.431e-05,5.191e-05,7.617e-05,0.000113,0.0001652,0.0001988,0.0002468,0.0004986,0.0007541,-29.5
