Row,PAr10,PAr20,PAr30,PAr40,PAr50,PAr60,PAr70,PAr80,PAr90,PAr95,PAr100,PAf95,PAf90,PAf80,PAf40,PAf20,PBr10,PBr20,PBr30,PBr40,PBr50,PBr60,PBr70,PBr80,PBr90,PBr95,PBr100,PBf95,PBf90,PBf80,PBf40,PBf20,PCr10,PCr20,PCr30,PCr40,PCr50,PCr60,PCr70,PCr80,PCr90,PCr95,PCr100,PCf95,PCf90,PCf80,PCf40,PCf20,PDr10,PDr20,PDr30,PDr40,PDr50,PDr60,PDr70,PDr80,PDr90,PDr95,PDr100,PDf95,PDf90,PDf80,PDf40,PDf20,PFr10,PFr20,PFr30,PFr40,PFr50,PFr60,PFr70,PFr80,PFr90,PFr95,PFr100,PFf95,PFf90,PFf80,PFf40,PFf20,y
24549,-8.62e-06,0,7.017e-06,1.359e-05,2.007e-05,2.664e-05,3.484e-05,4.69e-05,6.565e-05,8.658e-05,0.0001158,0.0001709,0.0001894,0.0002445,0.0004709,0.000647,-8.6e-06,-4.25e-07,6.559e-06,1.297e-05,2.026e-05,2.904e-05,3.932e-05,5.118e-05,7.239e-05,8.596e-05,0.0001422,0.0001814,0.0002135,0.0002625,0.0004947,0.0006915,-9.95e-06,3.403e-07,9.807e-06,1.971e-05,2.734e-05,3.667e-05,4.923e-05,6.432e-05,8.833e-05,0.0001146,0.0001534,0.0001859,0.000221,0.0002865,0.0005148,0.0007314,-2.21e-05,-1.69e-05,-1.3e-05,-9.71e-06,-6.53e-06,-3.35e-06,1.651e-08,3.839e-06,8.76e-06,1.233e-05,2.148e-05,3.429e-05,4.204e-05,8.751e-05,0.0002942,0.0004882,-3.35e-05,-2.98e-05,-2.68e-05,-2.41e-05,-2.14e-05,-1.86e-05,-1.55e-05,-1.19e-05,-7.09e-06,-3.43e-06,7.087e-06,2.288e-05,3.402e-05,5.915e-05,0.0001677,0.0003593,-9.988
95967,-7.61e-06,0,6.253e-06,1.195e-05,1.784e-05,2.409e-05,3.206e-05,4.188e-05,5.653e-05,6.982e-05,0.0001117,0.0001479,0.0001778,0.0002323,0.0004708,0.0006922,-4.75e-06,3.131e-06,1.022e-05,1.726e-05,2.485e-05,3.41e-05,4.497e-05,5.859e-05,7.685e-05,9.5e-05,0.0001277,0.0002026,0.0002397,0.0003064,0.0005892,0.0008587,1.421e-05,2.769e-05,4.328e-05,5.626e-05,6.633e-05,7.947e-05,9.865e-05,0.0001154,0.0001425,0.0001741,0.0002133,0.0002671,0.0003219,0.0003803,0.0006706,0.0010044,-2.72e-05,-2.24e-05,-1.83e-05,-1.43e-05,-1.01e-05,-5.31e-06,6.708e-07,8.771e-06,2.16e-05,3.221e-05,6.776e-05,0.0001109,0.0001351,0.000182,0.0004552,0.0007342,-2.28e-05,-1.71e-05,-1.22e-05,-7.65e-06,-2.79e-06,2.534e-06,8.953e-06,1.828e-05,3.35e-05,4.583e-05,8.536e-05,0.0001444,0.0001766,0.0002375,0.000529,0.0008136,-19.7
82097,-7.35e-06,0,6.227e-06,1.194e-05,1.8e-05,2.49e-05,3.365e-05,4.537e-05,6.105e-05,7.399e-05,0.00012,0.000178,0.0002017,0.0002487,0.0004741,0.0006657,-7.64e-06,3.328e-07,7.712e-06,1.495e-05,2.226e-05,3.086e-05,4.113e-05,5.425e-05,7.332e-05,8.83e-05,0.0001384,0.0001907,0.0002283,0.000277,0.0005117,0.0006989,-1.22e-05,-1.27e-06,1.064e-05,1.891e-05,2.714e-05,3.628e-05,5.044e-05,6.391e-05,8.908e-05,0.0001068,0.000148,0.0002019,0.0002466,0.0003018,0.0005353,0.000755,-2.32e-05,-1.86e-05,-1.5e-05,-1.17e-05,-8.56e-06,-5.26e-06,-1.64e-06,2.72e-06,9.091e-06,1.448e-05,3.449e-05,7.781e-05,9.879e-05,0.0001368,0.0003533,0.0005547,-3.48e-05,-3.1e-05,-2.8e-05,-2.53e-05,-2.25e-05,-1.96e-05,-1.65e-05,-1.26e-05,-7.38e-06,-3.13e-06,1.049e-05,4.153e-05,6.214e-05,8.952e-05,0.0002305,0.0004322,-9.988
29600,-8.47e-06,0,7.748e-06,1.534e-05,2.357e-05,3.323e-05,4.469e-05,5.744e-05,7.543e-05,9.072e-05,0.0001513,0.0001774,0.0002015,0.0002525,0.0004811,0.0006906,-1.96e-05,-1.48e-05,-1.08e-05,-7.02e-06,-2.9e-06,2.47e-06,3.109e-05,4.935e-05,6.323e-05,7.212e-05,0.0001121,0.0001711,0.0001975,0.0002417,0.0004624,0.0006839,-1.79e-05,-1.34e-05,-9.5e-06,-5.47e-06,-8.7e-07,5.725e-06,2.708e-05,4.546e-05,6.206e-05,7.152e-05,9.691e-05,0.0001821,0.0002009,0.0002494,0.0004897,0.00072,-2.04e-05,-1.51e-05,-1.09e-05,-7.16e-06,-3.49e-06,2.316e-07,4.221e-06,8.756e-06,1.452e-05,1.86e-05,2.891e-05,4.086e-05,4.757e-05,6.523e-05,0.0003348,0.000555,-3.39e-05,-2.95e-05,-2.62e-05,-2.32e-05,-2.02e-05,-1.72e-05,-1.41e-05,-1.06e-05,-6.09e-06,-2.81e-06,5.717e-06,1.686e-05,2.246e-05,3.205e-05,9.56e-05,0.0002527,-3.969
115739,-7.29e-06,0,5.842e-06,1.146e-05,1.726e-05,2.415e-05,3.189e-05,4.183e-05,5.741e-05,6.896e-05,9.252e-05,0.0001589,0.0001831,0.0002315,0.0004655,0.0006714,-4.87e-06,3.594e-06,1.109e-05,1.824e-05,2.557e-05,3.429e-05,4.463e-05,5.754e-05,7.528e-05,9.663e-05,0.0001381,0.0002025,0.0002372,0.0003049,0.0005864,0.0008385,1.488e-05,2.984e-05,4.537e-05,5.636e-05,6.965e-05,8.485e-05,0.0001016,0.0001213,0.0001463,0.0001649,0.0002381,0.0002795,0.0003072,0.0003754,0.000666,0.0009107,-2.74e-05,-2.25e-05,-1.82e-05,-1.39e-05,-9.32e-06,-3.79e-06,3.094e-06,1.208e-05,2.558e-05,3.685e-05,6.932e-05,0.0001223,0.0001498,0.0002021,0.0004924,0.0007836,-2.16e-05,-1.55e-05,-1.03e-05,-5.34e-06,-4.31e-09,6.181e-06,1.361e-05,2.341e-05,3.943e-05,5.412e-05,9.252e-05,0.000156,0.000196,0.0002548,0.0005405,0.0008244,-19.7
123395,-6.56e-06,0,5.81e-06,1.16e-05,1.804e-05,2.496e-05,3.263e-05,4.21e-05,5.855e-05,7.085e-05,0.0001069,0.0001578,0.0001806,0.0002343,0.0004774,0.000675,-6.09e-06,2.349e-06,9.765e-06,1.682e-05,2.406e-05,3.204e-05,4.222e-05,5.652e-05,7.508e-05,9.141e-05,0.0001341,0.0001975,0.0002341,0.0002961,0.0005837,0.0008231,1.88e-05,2.973e-05,4.582e-05,5.838e-05,7.111e-05,8.671e-05,0.0001095,0.0001333,0.000164,0.0001933,0.0002205,0.0002407,0.000311,0.0003861,0.0006952,0.000908,-2.75e-05,-2.24e-05,-1.79e-05,-1.34e-05,-8.64e-06,-2.94e-06,4.197e-06,1.362e-05,2.757e-05,3.972e-05,8.059e-05,0.0001261,0.0001538,0.0002093,0.0005084,0.0007917,-2.06e-05,-1.41e-05,-8.41e-06,-2.95e-06,2.84e-06,9.734e-06,1.853e-05,3.05e-05,4.699e-05,6.227e-05,0.0001093,0.0001658,0.0002033,0.0002665,0.0005629,0.0008334,-19.7
35079,-8.6e-06,0,6.674e-06,1.502e-05,2.396e-05,3.46e-05,4.601e-05,5.686e-05,7.587e-05,9.396e-05,0.0001339,0.0001686,0.0002132,0.000247,0.0004783,0.0006725,-1.45e-05,-5.86e-06,1.257e-06,8.551e-06,1.63e-05,2.614e-05,3.72e-05,5.098e-05,7.207e-05,8.344e-05,0.0001131,0.0001654,0.0002062,0.0002528,0.0004591,0.00069,-2.22e-05,-1.62e-05,-1.16e-05,-7.27e-06,-2.25e-06,5.127e-06,1.677e-05,3.661e-05,5.32e-05,6.467e-05,9.794e-05,0.0001619,0.0001965,0.0002444,0.0004794,0.0006931,-1.86e-05,-1.21e-05,-7.13e-06,-2.63e-06,1.625e-06,5.88e-06,1.04e-05,1.554e-05,2.204e-05,2.664e-05,3.874e-05,5.716e-05,0.00014,0.0001901,0.0004042,0.0006318,-3.48e-05,-3.03e-05,-2.67e-05,-2.36e-05,-2.06e-05,-1.76e-05,-1.45e-05,-1.1e-05,-6.7e-06,-3.63e-06,4.34e-06,1.307e-05,1.719e-05,2.39e-05,9.199e-05,0.0002361,0.0
119149,-4.69e-06,0,3.902e-06,7.671e-06,1.17e-05,1.642e-05,2.242e-05,3.104e-05,4.441e-05,5.377e-05,7.922e-05,0.0001086,0.0001226,0.0001499,0.0003451,0.0005454,-8.76e-06,-3.64e-06,1.041e-06,6.08e-06,1.192e-05,1.856e-05,2.582e-05,3.441e-05,4.571e-05,5.396e-05,8.322e-05,0.0001242,0.0001565,0.0002205,0.0004885,0.000726,4.245e-05,5.46e-05,6.305e-05,7.628e-05,9.118e-05,0.0001002,0.0001161,0.000134,0.0001626,0.0001807,0.000244,0.0002616,0.0003084,0.0003681,0.0006421,0.0008627,-1.27e-05,-7.49e-06,-2.85e-06,1.755e-06,6.681e-06,1.229e-05,1.919e-05,2.867e-05,4.36e-05,5.466e-05,9.682e-05,0.0001453,0.0001724,0.0002237,0.0004917,0.0007558,1.719e-05,2.725e-05,3.537e-05,4.345e-05,5.22e-05,6.251e-05,7.524e-05,9.171e-05,0.0001123,0.0001295,0.0001728,0.0002282,0.0002562,0.0003159,0.0005652,0.0008046,-36.116
74484,-6.96e-06,0,6.192e-06,1.252e-05,1.884e-05,2.585e-05,3.506e-05,4.634e-05,6.344e-05,7.605e-05,0.0001059,0.0001668,0.0001918,0.0002384,0.0004658,0.0006644,-8.55e-06,5.844e-07,7.782e-06,1.498e-05,2.295e-05,3.183e-05,4.242e-05,5.44e-05,7.493e-05,8.825e-05,0.0001355,0.0001813,0.0002106,0.0002614,0.0004881,0.000718,-8.77e-06,2.04e-06,1.192e-05,2.377e-05,3.404e-05,4.243e-05,5.637e-05,7.01e-05,9.891e-05,0.0001176,0.0001603,0.0002124,0.000232,0.0002999,0.0005374,0.0007742,-2.15e-05,-1.68e-05,-1.32e-05,-1e-05,-7.03e-06,-3.94e-06,-6.05e-07,3.273e-06,8.402e-06,1.229e-05,2.432e-05,4.631e-05,7.186e-05,0.0001172,0.0003322,0.0005419,-3.33e-05,-2.95e-05,-2.65e-05,-2.37e-05,-2.1e-05,-1.82e-05,-1.51e-05,-1.14e-05,-6.44e-06,-2.65e-06,8.326e-06,2.593e-05,3.991e-05,6.554e-05,0.0001858,0.0003704,-9.988
71965,-6.59e-06,0,5.614e-06,1.105e-05,1.69e-05,2.339e-05,3.087e-05,4.038e-05,5.479e-05,6.63e-05,0.0001053,0.0001515,0.0001804,0.0002308,0.0004619,0.0006771,-7.1e-06,1.587e-06,8.832e-06,1.611e-05,2.378e-05,3.187e-05,4.14e-05,5.474e-05,7.191e-05,8.678e-05,0.0001493,0.0002042,0.0002403,0.0003044,0.0005938,0.0008668,1.14e-05,2.462e-05,3.882e-05,5.095e-05,6.2e-05,7.379e-05,9.266e-05,0.0001152,0.0001406,0.0001629,0.0002021,0.0002771,0.0003223,0.0003803,0.0006904,0.0010147,-3.27e-05,-2.8e-05,-2.38e-05,-1.95e-05,-1.49e-05,-9.41e-06,-2.28e-06,7.226e-06,2.181e-05,3.453e-05,7.172e-05,0.000131,0.0001595,0.0002143,0.0005045,0.0007961,-2.4e-05,-1.82e-05,-1.29e-05,-7.71e-06,-2.27e-06,3.839e-06,1.185e-05,2.382e-05,4.127e-05,5.604e-05,9.812e-05,0.0001666,0.0002003,0.0002633,0.0005521,0.0008306,-21.034
